                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37827,                0.93172,                      1,                0.42248,              0.0032997,              0.0032997,              0.0032997
                      2,                0.14365,                0.96696,                      1,                 0.3696,              0.0066264,              0.0066264,              0.0066264
                      3,                0.08942,                0.98238,                      1,                0.33942,              0.0099466,              0.0099466,              0.0099466
                      4,                0.05942,                0.97357,                      1,                0.34159,              0.0099703,              0.0099703,              0.0099703
                      5,                0.02421,                0.96916,                      1,                0.33991,              0.0099604,              0.0099604,              0.0099604
                      6,                  0.025,                0.97137,                      1,                 0.3368,              0.0099505,              0.0099505,              0.0099505
                      7,                0.03217,                0.94714,                      1,                0.35773,              0.0099405,              0.0099405,              0.0099405
                      8,                0.04775,                0.96916,                      1,                0.34113,              0.0099306,              0.0099306,              0.0099306
                      9,                0.02606,                0.93392,                      1,                0.37555,              0.0099207,              0.0099207,              0.0099207
                     10,                0.03844,                0.93833,                      1,                0.37202,              0.0099108,              0.0099108,              0.0099108
                     11,                 0.0361,                0.95154,                      1,                 0.3549,              0.0099009,              0.0099009,              0.0099009
                     12,                0.02019,                0.98018,                      1,                0.33294,               0.009891,               0.009891,               0.009891
                     13,                0.02437,                0.96696,                      1,                0.33931,              0.0098811,              0.0098811,              0.0098811
                     14,                0.01482,                0.97137,                      1,                0.35501,              0.0098712,              0.0098712,              0.0098712
                     15,                0.01055,                0.96256,                      1,                0.34468,              0.0098613,              0.0098613,              0.0098613
                     16,                0.01917,                0.97357,                      1,                0.33657,              0.0098514,              0.0098514,              0.0098514
                     17,                 0.0145,                0.96916,                      1,                0.34264,              0.0098414,              0.0098414,              0.0098414
                     18,                0.01098,                0.96916,                      1,                0.34531,              0.0098315,              0.0098315,              0.0098315
                     19,                0.02922,                0.95154,                      1,                0.35833,              0.0098216,              0.0098216,              0.0098216
                     20,                0.02774,                0.96035,                      1,                0.34484,              0.0098117,              0.0098117,              0.0098117
                     21,                0.01121,                0.96476,                      1,                0.34731,              0.0098018,              0.0098018,              0.0098018
                     22,                0.01301,                0.96916,                      1,                0.34097,              0.0097919,              0.0097919,              0.0097919
                     23,                0.00743,                0.95815,                      1,                0.35283,               0.009782,               0.009782,               0.009782
                     24,                0.01001,                0.98899,                      1,                 0.3269,              0.0097721,              0.0097721,              0.0097721
                     25,                0.01236,                0.98458,                      1,                0.32762,              0.0097622,              0.0097622,              0.0097622
                     26,                0.00837,                0.98458,                      1,                0.33034,              0.0097523,              0.0097523,              0.0097523
                     27,                0.00337,                0.98018,                      1,                0.33394,              0.0097423,              0.0097423,              0.0097423
                     28,                0.00471,                0.98899,                      1,                0.32576,              0.0097324,              0.0097324,              0.0097324
                     29,                0.00367,                0.98678,                      1,                0.32785,              0.0097225,              0.0097225,              0.0097225
                     30,                0.01038,                0.98458,                      1,                0.33133,              0.0097126,              0.0097126,              0.0097126
                     31,                0.00617,                0.98458,                      1,                0.32962,              0.0097027,              0.0097027,              0.0097027
                     32,                0.02016,                0.98238,                      1,                0.33097,              0.0096928,              0.0096928,              0.0096928
                     33,                0.00328,                0.96476,                      1,                 0.3444,              0.0096829,              0.0096829,              0.0096829
                     34,                0.00471,                0.98678,                      1,                0.32801,               0.009673,               0.009673,               0.009673
                     35,                0.00491,                0.98018,                      1,                0.32809,              0.0096631,              0.0096631,              0.0096631
